Date,Description,Type,Amount,Balance
2025-04-01,Payroll Deposit,Credit,500.0,500.0
2025-04-03,Grocery Store,Debit,120.0,380.0
2025-04-10,Netflix Annual,Debit,199.99,180.01
2025-04-15,Restaurant,Debit,60.0,120.01
2025-04-22,Coffee Shop,Debit,12.0,108.01
2025-04-25,Online Shopping,Debit,130.0,-21.99
2025-04-25,Overdraft Fee,Debit,35.0,-56.99
2025-05-15,ATM Withdrawal (still active),Debit,20.0,-76.99
2025-06-02,Amazon Prime (Annual),Debit,139.0,-215.99
2025-06-02,Overdraft Fee,Debit,35.0,-250.99
2025-06-10,Cash Deposit,Credit,300.0,49.01
